6,"D'Crossier Flor de Crossier Selection No.512 Hermosos","5.875","48","CR","CR/DR","ECU/HAB","Colorado","Medium",
6,"D'Crossier Flor de Crossier Selection No.512 Lancero","7.5","38","CR","CR/DR","ECU/HAB","Colorado","Medium",
6,"D'Crossier Flor de Crossier Selection No.512 Magnificos","5.875","52","CR","CR/DR","ECU/HAB","Colorado","Medium",
6,"D'Crossier Golden Blend Aged 10 Years Churchill","7","47","CR","CR/NIC","ECU","Colorado","Medium-Full",
6,"D'Crossier Golden Blend Aged 10 Years Double Corona","7.5","49","CR","CR/NIC","ECU","Colorado","Medium-Full",
6,"D'Crossier Golden Blend Aged 10 Years Robusto","4.875","50","CR","CR/NIC","ECU","Colorado","Medium-Full",
6,"D'Crossier Golden Blend Aged 10 Years Taino","6.5","52","CR","CR/NIC","ECU","Colorado","Medium-Full",
6,"D'Crossier Golden Blend Aged 10 Years Torpedo","6.125","52","CR","CR/NIC","ECU","Colorado","Medium-Full",
6,"D'Crossier Golden Blend Churchill","7","47","CR","CR/DR","ECU","Colorado","Medium",
6,"D'Crossier Golden Blend Doble Corona","7.5","49","CR","CR/DR","ECU","Colorado","Medium",
6,"D'Crossier Golden Blend Robusto","4.875","50","CR","CR/DR","ECU","Colorado","Medium",
6,"D'Crossier Golden Blend Taino","6.75","54","CR","CR/DR","ECU","Colorado","Medium",
6,"D'Crossier Golden Blend Torpedo","6.125","52","CR","CR/DR","ECU","Colorado","Medium",
6,"D'Crossier Imperium Class Vintage Bullet","5.125","58","CR","CR/DR","CR","Colorado Maduro","Medium-Full",
6,"D'Crossier Imperium Class Vintage Robusto","4.875","50","CR","CR/DR","CR","Colorado Maduro","Medium-Full",
6,"D'Crossier Imperium Class Vintage Taino","5.875","54","CR","CR/DR","CR","Colorado Maduro","Medium-Full",
6,"D'Crossier Imperium Class Vintage Trabuco","5.125","60","CR","CR/DR","CR","Colorado Maduro","Medium-Full",
6,"D'Crossier L'Forte Bullet","5.125","58","CR","DR/NIC","CR","Colorado Maduro","Full",
6,"D'Crossier L'Forte Genio","5.125","55","CR","DR/NIC","CR","Colorado Maduro","Full",
6,"D'Crossier L'Forte Robusto","4.875","50","CR","DR/NIC","CR","Colorado Maduro","Full",
6,"D'Crossier L'Forte Trabuco","5.125","60","CR","DR/NIC","CR","Colorado Maduro","Full",
6,"D'Crossier Premium Blend Doble Corona","7.5","49","CR","DR","ECU","Claro","Medium",
6,"D'Crossier Premium Blend Tainos","6.375","54","CR","DR","ECU","Claro","Medium",
6,"D'Crossier Premium Blend Torpedo","6.125","52","CR","DR","ECU","Claro","Medium",
7,"DDelicioso (Cuban Stock/ Crown David) Chocolate Petit","4","40","DR","DR","CT","Colorado Claro","Mild-Medium",
8,"De Cossio Corona","","","","","","","",
8,"De Cossio Robusto","","","","","","","",
9,"De Diego Especial El Torito","5","52","USA","DR/HON/NIC","CAM","Colorado Maduro","Medium",
9,"De Diego Especial Magnifico","6","52","USA","DR/HON/NIC","CAM","Colorado Maduro","Medium",
9,"De Diego Especial Primer","7","50","USA","DR/HON/NIC","CAM","Colorado Maduro","Medium",
9,"De Diego New Orleans Rum","5.75","36","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Plantación Abogado","6.25","46","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Plantación Campeón","5.25","44","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Plantación Conquistador","6.5","54","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Plantación El Presidente","7.5","50","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Plantación Jefe","5","50","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Plantación Marinaro","5.75","36","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Robusto El Toro","5","52","USA","DR/HON/NIC","MEX","Maduro","Medium",
9,"De Diego Robusto Matador","5.75","52","USA","DR/HON/NIC","MEX","Maduro","Medium",
9,"De Diego Robusto Sevilla","5.25","46","USA","DR/HON/NIC","MEX","Maduro","Medium",
9,"De Diego Robusto Vaquero","6.9","50","USA","DR/HON/NIC","MEX","Maduro","Medium",
9,"De Diego Smooth Cognac","5.75","36","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
9,"De Diego Sweet Vanilla","5.75","36","USA","DR/HON/NIC","CTS","Colorado Claro","Mild",
10,"De Grisogono For Women Only","5.5","42","DR","DR","CTS/USA","Colorado Claro","Mild",
10,"De Grisogono Geneva","6","52","DR","DR","CTS","Naturale","Mild",
10,"De Grisogono Torpedo","6","52","DR","DR","CTS","Naturale","Mild",
11,"De Heeren van Ruysd","","","HOL","","","","",
12,"De Huifkar La Romana Cigarillo","3.5","","HOL","CBCS","","Colorado Maduro","",
12,"De Huifkar Palomas Cigarillo","4","","HOL","CBCS","","Colorado Maduro","",
12,"De Huifkar Paradiso Cigarillo","4","","HOL","CBCS","","Colorado Maduro","",
12,"De Huifkar Petit Cigarillo","3","","HOL","CBCS","","Colorado Maduro","",
13,"De Kayang Churchill","6.7","45","MAL","MAL","MAL","Colorado Maduro","",
13,"De Kayang Corona","5.3","30","MAL","MAL","MAL","Colorado Maduro","",
13,"De Kayang Double Corona","8.25","51","MAL","MAL","MAL","Colorado Maduro","",
13,"De Kayang Lolo","8.25","","MAL","MAL","MAL","Colorado Maduro","",
13,"De Kayang Robusto","5","45","MAL","MAL","MAL","Colorado Maduro","",
13,"De Kayang Robusto Sumatra","5","45","MAL","MAL","SUM","Colorado Maduro","",
13,"De Kayang Slim Panatela","4","","MAL","MAL","MAL","Colorado Maduro","",
13,"De Kayang Torpedo","","","MAL","MAL","MAL","Colorado Maduro","",
14,"De La Concha Grand Reserve Criollo","6.12","52","NIC","NIC","NIC","Colorado","Medium-Full",
14,"De La Concha Grand Reserve Criollo","6","50","NIC","NIC","NIC","Colorado","Medium-Full",
14,"De La Concha Grand Reserve Criollo","5","50","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
14,"De La Concha Grand Reserve Criollo","4.5","31","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
14,"De La Concha Grand Reserve Criollo","7.62","49","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
14,"De La Concha Grand Reserve Criollo","5.5","45","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
14,"De La Concha Grand Reserve Criollo","7","50","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
14,"De La Concha Grand Reserve Criollo Fuerte Toro","6.25","50","NIC","NIC","CRI/NIC","Colorado","Medium-Full",
14,"De La Concha Selection Premium Robusto","5","50","DR","DR","ECU","Colorado Claro","Mild-Medium",
15,"De Leon Churchill","7.5","50","DR","DR","CT/ECU","Colorado Claro","",
15,"De Leon Corona","5.5","40","DR","DR","CT/ECU","Colorado Claro","",
15,"De Leon Double Corona","6.5","46","DR","DR","CT/ECU","Colorado Claro","",
15,"De Leon Etiqueta Negra Belicoso","5.875","50","DR","DR","DR","Maduro","",
15,"De Leon Etiqueta Negra Corona Gordo","5.63","46","DR","DR","DR","Maduro","",
15,"De Leon Etiqueta Negra Toro","6","50","DR","DR","DR","Maduro","",
15,"De Leon Panatela","6","34","DR","DR","CT/ECU","Colorado Claro","",
15,"De Leon Petit Corona","5","34","DR","DR","CT/ECU","Colorado Claro","",
15,"De Leon Robusto","5","50","DR","DR","CT/ECU","Colorado Claro","",
15,"De Leon Torpedo","6.5","52","DR","DR","CT/ECU","Colorado Claro","",
15,"De Leon Vuelta Arriba Gordito","4","57","DR","DR","DR","Colorado","",
15,"De Leon Vuelta Arriba Robusto Gordo","5","59","DR","DR","DR","Colorado","",
16,"De Leon Cigars Etiqueta Negra Robusto","5","50","DR","DR","DR","Maduro","",
17,"De Nobili Economy Maduro","4","34","USA","USA","USA","Maduro","Medium",
17,"De Nobili Economy Natural","3.5","34","USA","USA","USA","Naturale","Medium",
17,"De Nobili Kings","4.5","34","USA","USA","USA","Naturale","Medium",
17,"De Nobili Popular","3.5","34","USA","USA","USA","Naturale","Medium",
17,"De Nobili Popular Maduro","3.5","34","USA","USA","USA","Maduro","Medium",
17,"De Nobili Toscani","6.5","34","USA","USA","USA","Naturale","Medium",
17,"De Nobili Toscani Longs","6.5","34","USA","USA","USA","Naturale","Medium",
17,"De Nobili Toscani Maduro","6.5","34","USA","USA","USA","Maduro","Medium",
18,"De Olifant Corona","4.5","36","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild-Medium",
18,"De Olifant Corona Panatella","5.2","36","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild-Medium",
18,"De Olifant Corona Vinatge 1987","4.5","36","HOL","BRA/Java/SUM","SUM","Colorado Claro","Medium",
18,"De Olifant Fantje","3","22","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild-Medium",
18,"De Olifant Ivory","5.9","42","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild-Medium",
18,"De Olifant Knakje","3.4","31","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild-Medium",
18,"De Olifant Matelieff","3.56","34","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild-Medium",
18,"De Olifant Petit","","","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild-Medium",
18,"De Olifant VOC","3.5","29","HOL","BRA/Java/SUM","SUM","Colorado Claro","Mild",
19,"Dea Churchill","7","48","","CBCS/HON/NIC","","Rosado","Medium-Full",
19,"Dea Churchill","7","48","NIC","CR/HON","CR","Maduro","Medium-Full",
19,"Dea Robusto","5","50","NIC","CR/HON","CR","Maduro","Medium-Full",
19,"Dea Robusto","5","50","","CBCS/HON/NIC","","Rosado","Medium-Full",
19,"Dea Torpedo","6","52","NIC","CR/HON","CR","Maduro","Medium-Full",
19,"Dea Torpedo","6","52","","CBCS/HON/NIC","","Rosado","Medium-Full",
20,"Deadwood Tobacco Company Sturgis 2006 Boyd's Bobber Limited Edition","","","","","","","",
20,"Deadwood Tobacco Company Sturgis 2007 Deuce Limited Edition","","","","","","","",
20,"Deadwood Tobacco Company Sturgis 2008 Aces in '08 Limited Edition","","","","","","","",
20,"Deadwood Tobacco Company Sturgis 2009 The Chopper Limited Edition","","","","","","","",
20,"Deadwood Tobacco Company Sturgis 2010 Boyd’s Bagger Limited Edition","","","","","","Maduro","",
20,"Deadwood Tobacco Company Sturgis 2011 Ape Hanger Limited Edition","","","","","","","",
20,"Deadwood Tobacco Company Sturgis 2012 Doomsday Digger Limited Edition","6","54","DR","DR","DR","Colorado","Medium",
