13,"Domaine de Lavalette Mild Premium (Blue band) Toro Maduro","6","50","DR","DR","DR","Maduro","Medium",
13,"Domaine de Lavalette Nicaraguan (Red) 460 Rico","4","58","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Domaine de Lavalette Nicaraguan (Red) 460 Suave","4","58","NIC","NIC","NIC","Colorado","Medium",
13,"Domaine de Lavalette Nicaraguan (Red) Corona Rico","5","45","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Domaine de Lavalette Nicaraguan (Red) Corona Suave","5","45","NIC","NIC","NIC","Colorado","Medium",
13,"Domaine de Lavalette Nicaraguan (Red) Lonsdale Rico","6","45","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Domaine de Lavalette Nicaraguan (Red) Lonsdale Suave","6","45","NIC","NIC","NIC","Colorado","Medium",
13,"Domaine de Lavalette Nicaraguan (Red) Perfecto Rico","5.3","48","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Domaine de Lavalette Nicaraguan (Red) Perfecto Suave","5.3","48","NIC","NIC","NIC","Colorado","Medium",
13,"Domaine de Lavalette Nicaraguan (Red) Robusto Rico","5","48","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Domaine de Lavalette Nicaraguan (Red) Robusto Suave","5","48","NIC","NIC","NIC","Colorado","Medium",
13,"Domaine de Lavalette Nicaraguan (Red) Toro Rico","6","48","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Domaine de Lavalette Nicaraguan (Red) Toro Suave","6","48","NIC","NIC","NIC","Colorado","Medium",
13,"Domaine de Lavalette Nicaraguan (Red) Torpedito Rico","5","38","NIC","NIC","NIC","Colorado Maduro","Medium-Full",
13,"Domaine de Lavalette Nicaraguan (Red) Torpedito Suave","5","38","NIC","NIC","NIC","Colorado","Medium",
13,"Domaine de Lavalette Panama Corona","5.5","38","PAN","PAN","PAN","Colorado","Medium",
13,"Domaine de Lavalette Panama Robusto","4.4","48","PAN","PAN","PAN","Colorado","Medium",
13,"Domaine de Lavalette Panama Robusto Grande","4.4","53","PAN","PAN","PAN","Colorado","Medium",
13,"Domaine de Lavalette Panama Toro","5","53","PAN","PAN","PAN","Colorado","Medium",
14,"Domenico Churchill Medium","7.5","50","DR","DR","CTB","Colorado Maduro","Medium",
14,"Domenico Churchill Mild","7.5","50","DR","DR","CTS","Colorado Claro","Mild",
14,"Domenico Churchill Strong","7.5","50","DR","DR","CTB","Colorado Maduro","Full",
14,"Domenico Corona","5.5","42","DR","DR","CTS","Colorado Claro","Mild",
14,"Domenico Corona","5.5","42","DR","DR","CTB","Colorado Maduro","Medium",
14,"Domenico Corona","5.5","42","DR","DR","CTB","Colorado Maduro","Full",
14,"Domenico Panatella","6","38","DR","DR","CTS","Colorado Claro","Mild",
14,"Domenico Panatella","6","38","DR","DR","CTB","Colorado Maduro","Medium",
14,"Domenico Panatella Vanilla","6","38","DR","DR","CTB","Colorado Maduro","Medium",
14,"Domenico Presidente","5","79","DR","DR","CTS","Colorado Claro","Mild",
14,"Domenico Robusto Medium","5","50","DR","DR","CTB","Colorado Maduro","Medium",
14,"Domenico Robusto Mild","5","50","DR","DR","CTS","Colorado Claro","Mild",
14,"Domenico Robusto Strong","5","50","DR","DR","CTB","Colorado Maduro","Full",
14,"Domenico Torpedo","6.5","52","DR","DR","CTS","Colorado Claro","Mild",
14,"Domenico Torpedo","6.5","52","DR","DR","CTB","Colorado Maduro","Medium",
15,"Domenico (Greece) Churchill","","","GRE","GRE","GRE","Colorado Maduro","",
15,"Domenico (Greece) Cigarillo","","","GRE","GRE","GRE","Colorado Maduro","",
15,"Domenico (Greece) Corona","","","GRE","GRE","GRE","Colorado Maduro","",
15,"Domenico (Greece) Robusto","","","GRE","GRE","GRE","Colorado Maduro","",
16,"Domeza Connecticut Churchill","7","50","NIC","NIC","CT","Colorado Claro","Mild",
16,"Domeza Connecticut Robusto","5","50","NIC","NIC","CT","Colorado Claro","Mild",
16,"Domeza Connecticut Toro","6","50","NIC","NIC","CT","Colorado Claro","Mild",
16,"Domeza Connecticut Torpedo","6","52","NIC","NIC","CT","Colorado Claro","Mild",
16,"Domeza Corojo Churchill","7","50","NIC","NIC","COR/ECU","Colorado Maduro","Medium",
16,"Domeza Corojo Robusto","5","50","NIC","NIC","COR/ECU","Colorado Maduro","Medium",
